iter	RMSE
710	22569.77919
711	22560.06193
712	22554.26083
713	22540.70036
714	22537.86897
715	22523.32806
716	22513.93813
717	22488.44653
718	22483.24186
719	22472.78662
720	22468.95796
721	22463.49646
722	22450.39776
723	22429.72654
724	22423.56957
725	22417.56764
726	22401.36853
727	22387.87071
728	22381.53267
729	22371.32881
730	22368.38255
731	22362.93451
732	22360.45133
733	22344.53583
734	22327.77468
735	22316.14175
736	22298.58157
737	22282.77988
738	22279.11697
739	22277.69439
740	22273.78218
741	22257.23864
742	22230.71188
743	22228.3146
744	22222.37935
745	22201.03479
746	22191.56611
747	22180.5861
748	22171.41328
749	22154.50277
750	22128.38149
751	22113.11245
752	22107.88121
753	22103.78454
754	22085.19051
755	22068.42944
756	22061.48301
757	22047.75629
758	22042.75356
759	22038.0304
760	22031.2855
761	22018.11003
762	22015.28067
763	22004.21176
764	21999.23012
765	21991.13484
766	21985.77507
767	21978.47204
768	21973.79104
769	21971.60979
770	21957.43858
771	21943.31598
772	21933.28018
773	21911.55382
774	21908.54477
775	21886.24048
776	21879.49993
777	21873.67189
778	21855.96278
779	21847.91635
780	21836.44648
781	21832.65706
782	21816.52155
783	21814.34015
784	21802.35439
785	21784.47384
786	21776.85672
787	21765.489
788	21760.90891
789	21758.68312
790	21756.64635
791	21750.68357
792	21731.96167
793	21720.53727
794	21717.43504
795	21713.35714
796	21697.97659
797	21687.42034
798	21681.26636
799	21660.06105
800	21644.71335
801	21627.14813
802	21601.66045
803	21596.85106
804	21595.37056
805	21587.67114
806	21586.26262
807	21582.58843
808	21566.32488
809	21563.38837
810	21561.37598
811	21550.09019
812	21544.87315
813	21529.09009
814	21524.18018
815	21509.03515
816	21507.64959
817	21485.19898
818	21477.7447
819	21468.56728
820	21462.65554
821	21449.61361
822	21442.53081
823	21435.10606
824	21427.67118
825	21419.81628
826	21407.13958
827	21392.25063
828	21384.46135
829	21368.00428
830	21360.76992
831	21346.92703
832	21332.90722
833	21327.23486
834	21325.87722
835	21306.60969
836	21286.34182
837	21275.82011
838	21264.02592
839	21250.83581
840	21246.19926
841	21238.27338
842	21226.14583
843	21210.8829
844	21197.94273
845	21185.08236
846	21174.52737
847	21169.06259
848	21165.88963
849	21161.42147
850	21152.37727
851	21141.88837
852	21132.46437
853	21119.83692
854	21116.81427
855	21097.03057
856	21087.78753
857	21076.79932
858	21069.55888
859	21065.49098
860	21064.15533
861	21059.01901
862	21040.26788
863	21022.97573
864	21017.0284
865	21013.52107
866	21006.36281
867	21005.05752
868	21002.20691
869	20990.89587
